Compare	Shape	Carat	Color	Clarity	Cut	Report	Origin	Price	 empty
Cushion	0.37	H	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	G	VS1	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	E	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.36	G	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	E	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	F	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.30	F	VS2	Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS2	Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.30	F	VS2	Very Good	GCAL	Lab Created	$240	View
Emerald	0.35	H	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.35	G	SI1	Very Good	IGI	Lab Created	$240	View
Emerald	0.34	H	VS2	Ideal	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.34	G	SI1	Very Good	IGI	Lab Created	$240	View
Emerald	0.32	G	VS2	Ideal	IGI	Lab Created	$240	View
Pear	0.34	G	SI1	Good	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.32	E	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Good	IGI	Lab Created	$240	View
Oval	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Oval	0.36	H	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.34	E	SI2	Very Good	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.34	G	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.34	F	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	E	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	G	VS1	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	F	VS1	Very Good	IGI	Lab Created	$240	View
Cushion	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	G	VVS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	H	VVS2	Good	IGI	Lab Created	$240	View
