,listID,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
182,184,2024 Lambeth Way,430000.0,4,4,4111,Mission,78572,TX,26.2124424544939,-98.292186478121,"{'x': -98.292186478121, 'y': 26.2124424544939, 'spatialReference': {'wkid': 4326}}"
183,185,3606 Santa Erica St,265000.0,4,3,3318,Mission,78572,TX,26.1671675588382,-98.3036673780453,"{'x': -98.3036673780453, 'y': 26.1671675588382, 'spatialReference': {'wkid': 4326}}"
184,186,3300 San Armando,250000.0,4,3,2944,Mission,78572,TX,26.1691451345749,-98.2959676510792,"{'x': -98.2959676510792, 'y': 26.1691451345749, 'spatialReference': {'wkid': 4326}}"
185,187,2402 E 21st St,299000.0,4,4,3592,Mission,78572,TX,26.2197280933743,-98.2822249763839,"{'x': -98.2822249763839, 'y': 26.2197280933743, 'spatialReference': {'wkid': 4326}}"
186,188,1010 Red River St,535000.0,5,6,3540,Mission,78572,TX,26.1923955464137,-98.2975652671235,"{'x': -98.2975652671235, 'y': 26.1923955464137, 'spatialReference': {'wkid': 4326}}"
187,189,1810 Sabinal St,729500.0,4,6,5932,Mission,78572,TX,26.191104016359,-98.2996810771264,"{'x': -98.2996810771264, 'y': 26.191104016359, 'spatialReference': {'wkid': 4326}}"
188,190,819 Rio Grande Dr,392106.0,4,3,5396,Mission,78572,TX,26.1833127941908,-98.3013638633301,"{'x': -98.3013638633301, 'y': 26.1833127941908, 'spatialReference': {'wkid': 4326}}"
189,191,1801 Melissa Rae Dr,329000.0,4,4,3034,Mission,78572,TX,26.219978063097,-98.3000070800368,"{'x': -98.3000070800368, 'y': 26.219978063097, 'spatialReference': {'wkid': 4326}}"
190,192,3008 San Sebastian St,219000.0,4,4,2456,Mission,78572,TX,26.1573520960618,-98.3001276994272,"{'x': -98.3001276994272, 'y': 26.1573520960618, 'spatialReference': {'wkid': 4326}}"
191,193,400 Aquarius St,109800.0,2,2,1744,Mission,78572,TX,26.2057589,-98.3062288,"{'x': -98.3062288, 'y': 26.2057589, 'spatialReference': {'wkid': 4326}}"
192,194,1718 Aries St,109000.0,2,2,1225,Mission,78572,TX,26.2045062434449,-98.2992151359916,"{'x': -98.2992151359916, 'y': 26.2045062434449, 'spatialReference': {'wkid': 4326}}"
193,195,2420 Carianna Ave,185000.0,3,2,1907,Mission,78572,TX,26.2058253218835,-98.2834543107985,"{'x': -98.2834543107985, 'y': 26.2058253218835, 'spatialReference': {'wkid': 4326}}"
